train/train_loss_1_step,train/train_loss_2_step,train/train_loss_3_step,grad_2.0_norm_encoder_model.model.0.block.0.weight,grad_2.0_norm_encoder_model.model.0.block.0.bias,grad_2.0_norm_encoder_model.model.0.block.1.weight,grad_2.0_norm_encoder_model.model.0.block.1.bias,grad_2.0_norm_encoder_model.model.1.block.0.weight,grad_2.0_norm_encoder_model.model.1.block.0.bias,grad_2.0_norm_encoder_model.model.1.block.1.weight,grad_2.0_norm_encoder_model.model.1.block.1.bias,grad_2.0_norm_predictor.0.model.0.block.0.weight,grad_2.0_norm_predictor.0.model.0.block.0.bias,grad_2.0_norm_predictor.0.model.0.block.1.weight,grad_2.0_norm_predictor.0.model.0.block.1.bias,grad_2.0_norm_predictor.1.weight,grad_2.0_norm_predictor.1.bias,grad_2.0_norm_explainer.0.model.0.block.0.weight,grad_2.0_norm_explainer.0.model.0.block.0.bias,grad_2.0_norm_explainer.0.model.0.block.1.weight,grad_2.0_norm_explainer.0.model.0.block.1.bias,grad_2.0_norm_explainer.1.weight,grad_2.0_norm_explainer.1.bias,grad_2.0_norm_total,created_at,val/val_loss_1,val/val_loss_2,val/val_loss_3,val/val_loss,val/pred_accuracy,val/cf_proximity,val/cf_accuracy,val/robustness,val/total_diff_num,epoch,train/p_loss,train/train_loss_1_epoch,train/train_loss_2_epoch,train/train_loss_3_epoch,train/e_loss
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:55:12.715887,,,,,,,,,,964.0,0.04274439439177513,0.03344709426164627,0.051044970750808716,0.010740721598267555,0.011251172982156277
0.03439434990286827,0.05045211315155029,0.010471951216459274,0.1268,0.0,0.0559,0.0448,0.0383,0.0,0.021,0.0571,0.0029,0.0,0.0038,0.0049,0.0029,0.0014,0.0081,0.0,0.0164,0.0279,0.0043,0.0013,0.1661,2021-01-16 15:55:14.256141,,,,,,,,,,,,,,,
0.04706615209579468,0.050230950117111206,0.005746555048972368,0.0019,0.0,0.0009,0.0009,0.0007,0.0,0.0009,0.0014,0.0023,0.0,0.0035,0.0041,0.0021,0.0056,0.0005,0.0,0.0016,0.0015,0.0017,0.0002,0.0093,2021-01-16 15:55:16.256106,,,,,,,,,,,,,,,
0.0353473424911499,0.050919268280267715,0.0062563251703977585,0.0028,0.0,0.0038,0.0032,0.0021,0.0,0.0038,0.0109,0.0023,0.0,0.0013,0.0017,0.001,0.0006,0.0055,0.0,0.0115,0.016,0.0048,0.0011,0.025,2021-01-16 15:55:18.504413,,,,,,,,,,,,,,,
0.03224710375070572,0.05166739225387573,0.015901021659374237,0.081,0.0,0.032,0.0371,0.0191,0.0,0.0162,0.0506,0.0042,0.0,0.0038,0.0043,0.0035,0.0003,0.0042,0.0,0.009,0.0169,0.0037,0.0008,0.1123,2021-01-16 15:55:20.405082,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:55:22.215437,0.04810561612248421,0.08807621151208878,0.023870011791586876,0.07272496819496155,0.9042925834655762,12.858590126037598,0.96435546875,1.0,8149.0,965.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:55:22.745292,,,,,,,,,,965.0,0.043705228716135025,0.032983940094709396,0.051025230437517166,0.011152418330311775,0.011662671342492104
0.035544052720069885,0.05160749331116676,0.008396284654736519,0.014,0.0,0.0047,0.006,0.0027,0.0,0.0017,0.006,0.002,0.0,0.0034,0.0041,0.0021,0.0033,0.001,0.0,0.0018,0.003,0.0026,0.0003,0.0192,2021-01-16 15:55:24.638019,,,,,,,,,,,,,,,
0.03401719778776169,0.051659561693668365,0.008990664035081863,0.0138,0.0,0.0063,0.0068,0.0041,0.0,0.0075,0.0159,0.0035,0.0,0.0033,0.0041,0.0023,0.0002,0.0041,0.0,0.0089,0.0133,0.0054,0.0007,0.0308,2021-01-16 15:55:26.735632,,,,,,,,,,,,,,,
0.030279245227575302,0.050706278532743454,0.007287377491593361,0.0304,0.0,0.0162,0.0185,0.01,0.0,0.0104,0.0288,0.0024,0.0,0.0022,0.0031,0.0024,0.0004,0.0034,0.0,0.0069,0.0134,0.0041,0.0008,0.0534,2021-01-16 15:55:28.938798,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:55:31.816557,0.046213701367378235,0.08780928701162338,0.02313588559627533,0.0702017992734909,0.9054529666900635,12.747101783752441,0.9670381546020508,1.0,8149.0,966.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:55:32.355187,,,,,,,,,,966.0,0.04383892938494682,0.03222363442182541,0.051060955971479416,0.0103107038885355,0.010821312665939331
0.035428278148174286,0.05084281042218208,0.00860920175909996,0.0716,0.0,0.0306,0.0335,0.0166,0.0,0.0162,0.0389,0.0034,0.0,0.0055,0.0072,0.0033,0.0058,0.0043,0.0,0.0113,0.0261,0.0079,0.002,0.1013,2021-01-16 15:55:32.903082,,,,,,,,,,,,,,,
0.026660433039069176,0.05212996155023575,0.007549280766397715,0.0005,0.0,0.0003,0.0003,0.0002,0.0,0.0005,0.0005,0.0018,0.0,0.0045,0.0048,0.0033,0.0048,0.0007,0.0,0.0013,0.0012,0.0017,0.0001,0.0093,2021-01-16 15:55:35.137458,,,,,,,,,,,,,,,
0.028552493080496788,0.05005403608083725,0.01393887773156166,0.11,0.0,0.0474,0.0492,0.021,0.0,0.0058,0.018,0.0026,0.0,0.0064,0.009,0.0068,0.0045,0.0058,0.0,0.01,0.017,0.0096,0.0006,0.1352,2021-01-16 15:55:37.078332,,,,,,,,,,,,,,,
0.029292570427060127,0.050777170807123184,0.010021304711699486,0.0161,0.0,0.0097,0.008,0.0046,0.0,0.0042,0.014,0.0028,0.0,0.0049,0.0063,0.0028,0.0061,0.0015,0.0,0.0034,0.0054,0.0051,0.0004,0.029,2021-01-16 15:55:39.281909,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:55:41.834004,0.04957454651594162,0.08807860314846039,0.02638883702456951,0.07702194899320602,0.8968419432640076,12.783771514892578,0.9616053104400635,1.0,8149.0,967.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:55:42.364397,,,,,,,,,,967.0,0.04383697360754013,0.03230689838528633,0.050738412886857986,0.010559020563960075,0.011066405102610588
0.030015435069799423,0.05119260773062706,0.0076222410425543785,0.0331,0.0,0.0162,0.0153,0.0098,0.0,0.0093,0.0242,0.0023,0.0,0.0015,0.0023,0.0019,0.0002,0.0045,0.0,0.0086,0.0126,0.0055,0.0011,0.0516,2021-01-16 15:55:43.193906,,,,,,,,,,,,,,,
0.0222129225730896,0.05069102719426155,0.012964872643351555,0.0384,0.0,0.0205,0.0177,0.0091,0.0,0.0079,0.021,0.0023,0.0,0.0041,0.0046,0.0044,0.0013,0.0034,0.0,0.0073,0.0142,0.0053,0.0007,0.0562,2021-01-16 15:55:45.400433,,,,,,,,,,,,,,,
0.01703096739947796,0.050388775765895844,0.009544886648654938,0.0021,0.0,0.001,0.001,0.0005,0.0,0.0009,0.0021,0.0031,0.0,0.0036,0.0044,0.0024,0.0016,0.0002,0.0,0.0006,0.0012,0.002,0.0004,0.0082,2021-01-16 15:55:47.260298,,,,,,,,,,,,,,,
0.03935009241104126,0.050454992800951004,0.013918924145400524,0.0944,0.0,0.0432,0.0388,0.0241,0.0,0.0327,0.0618,0.0045,0.0,0.0071,0.0094,0.0046,0.0086,0.0128,0.0,0.0274,0.0431,0.0097,0.0031,0.1445,2021-01-16 15:55:49.419746,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:55:51.720534,0.04576665535569191,0.08764667809009552,0.02402324043214321,0.07056846469640732,0.9110696315765381,12.81232738494873,0.9661247730255127,1.0,8149.0,968.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 15:55:52.260329,,,,,,,,,,968.0,0.042955394834280014,0.03297663852572441,0.0509333498775959,0.01044483482837677,0.010954168625175953
